subject,session,meta_d_prime
1,1,-0.38660445531763443
1,2,-0.3675832866637192
1,3,-0.3232906564735716
1,4,-0.4475830262963201
1,5,-0.35646646200719756
1,6,-0.31055665934811305
1,7,-0.41314084919786453
2,1,-0.38569276483754744
2,2,-0.3608907777668733
2,3,-0.4500851337681562
2,4,-0.3488317586113743
2,5,-0.3463831173385581
2,6,-0.33697901200819236
2,7,-0.3538737733528765
3,1,-0.1976775272385607
3,2,-0.20499498168299968
3,3,-0.23221241355566935
3,4,-0.199375907545021
3,5,-0.231384093171505
3,6,-0.25891576783079073
3,7,-0.2672970178383549
4,1,-0.16317364363270248
4,2,-0.2545687552279261
4,3,-0.22818899869590004
4,4,-0.23723943473834885
4,5,-0.2825570281534526
4,6,-0.1640713837442076
4,7,-0.15398905115991068
5,1,-0.345702983499766
5,2,-0.35490137095104357
5,3,-0.22718188327269062
5,4,-0.2762421633413834
5,5,-0.39040595492094154
5,6,-0.34793019729959185
5,7,-0.37074500288745527
6,1,-0.29560955097499986
6,2,-0.4175851069992649
6,3,-0.33779932202298824
6,4,-0.3913187031152452
6,5,-0.35179451658494676
6,6,-0.374891936650539
6,7,-0.3021596340476811
7,1,-0.306644803714627
7,2,-0.34419817341305636
7,3,-0.190823828809912
7,4,-0.24889395033229067
7,5,-0.312154439067744
7,6,-0.23973101397734675
7,7,-0.23534164284687242
8,1,-0.39116785627863293
8,2,-0.3163243507941669
8,3,-0.3927754556410523
8,4,-0.42489311458363743
8,5,-0.47952276027759955
8,6,-0.36829237224791855
8,7,-0.2644742219346641
9,1,-0.18269299721299315
9,2,-0.2916122612537497
9,3,-0.22673771353965622
9,4,-0.3028048998360484
9,5,-0.22364007848617895
9,6,-0.28351369806116367
9,7,-0.1803739590827511
10,1,-0.5122348327408852
10,2,-0.40117126780926027
10,3,-0.5095860614224841
10,4,-0.5772760086603197
10,5,-0.48151380573557256
10,6,-0.5578166279974819
10,7,-0.4828911205198696
