subject,d_prime,meta_d_prime,m_ratio
1,1.303631431190017,0.6839499958001249,0.5269776505416273
2,1.334407880703372,0.7198224469414617,0.5402837195085792
3,0.7794597189610564,0.3590859672326951,0.4534398106087952
4,0.788931726040638,0.08837146963864338,0.08034245817049827
5,1.2363112561834362,0.6921487646138986,0.5793992568907315
6,1.2762406336357892,0.5861492808009535,0.46824909544982846
7,0.9553975178647958,0.12915477179111856,0.12521035622438442
8,1.2857982170949445,0.8156355543635493,0.6448697839016323
9,0.9026644702317759,0.5058911975070836,0.5895089574641753
10,1.7481491817805643,0.9534085600531597,0.5572661517681844
